# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
19.345069 1.08911848e+07 5.46601584e-18 7.55756705e-02 4.91938639e+05 3.58038411e+12
20.213423 1.09636302e+07 5.15055392e-18 7.61132705e-02 4.97832686e+05 3.64500427e+12
21.120755 1.10347146e+07 4.76588091e-18 7.66398107e-02 5.03642907e+05 3.70911840e+12
22.068814 1.11044543e+07 4.31187235e-18 7.71438867e-02 5.09240396e+05 3.77127546e+12
23.059430 1.11728657e+07 3.79692791e-18 7.76134204e-02 5.14486434e+05 3.82988873e+12
24.094512 1.12399658e+07 3.23833806e-18 7.80368947e-02 5.19246270e+05 3.88338912e+12
25.176057 1.13057718e+07 2.66113551e-18 7.84047795e-02 5.23405491e+05 3.93041233e+12
26.306149 1.13703010e+07 2.09521979e-18 7.87108965e-02 5.26886134e+05 3.96998829e+12
27.486969 1.14335713e+07 1.57101455e-18 7.89534054e-02 5.29658876e+05 4.00169064e+12
28.720793 1.14956003e+07 1.11447380e-18 7.91351185e-02 5.31747778e+05 4.02570381e+12
30.010000 1.15564063e+07 7.42678820e-19 7.92629887e-02 5.33225498e+05 4.04278095e+12
