z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
0.5,0.87,0.007443803013251681,1.4455141519449017,1.4455141519449017,3013
0.5,0.87,0.008627747685955867,1.457072186154633,1.457072186154633,2450
0.5,0.87,0.01,1.5008931983926521,1.5008931983926521,2029
1.0,0.75,3.1622776601683795e-05,0.34088147044589273,0.34088147044589273,500007
1.0,0.75,3.665241237079626e-05,0.35894148693551936,0.35894148693551936,500007
1.0,0.75,4.248201698162608e-05,0.3790222129635508,0.3790222129635508,500007
1.0,0.75,4.9238826317067415e-05,0.40148288736172133,0.40148288736172133,500007
1.0,0.75,5.707031326057167e-05,0.42677326625606576,0.42677326625606576,500007
1.0,0.75,6.614740641230145e-05,0.45546404920005634,0.45546404920005634,500007
1.0,0.75,7.666822074546222e-05,0.48829046262489856,0.48829046262489856,500007
1.0,0.75,8.886238162743407e-05,0.5262161541410638,0.5262161541410638,500007
1.0,0.75,0.00010299603658099899,0.5705293704782236,0.5705293704782236,500007
1.0,0.75,0.00011937766417144357,0.622992199478434,0.622992199478434,500007
1.0,0.75,0.00013836480680324593,0.6860804914504592,0.6860804914504592,500007
1.0,0.75,0.0001603718743751331,0.7633859822331641,0.7633859822331641,500007
1.0,0.75,0.00018587918911465635,0.8603247986241793,0.8603247986241793,500007
1.0,0.75,0.00021544346900318823,0.9854643024962985,0.9854643024962985,500007
1.0,0.75,0.0002497099786006541,1.1000905403329548,1.1000905403329548,477536
1.0,0.75,0.0002894266124716752,1.1075841483764934,1.1075841483764934,408516
1.0,0.75,0.00033546021859540435,1.115099439240569,1.115099439240569,349065
1.0,0.75,0.00038881551803080855,1.1244462775219337,1.1244462775219337,298372
1.0,0.75,0.0004506570337745473,1.133858424357461,1.133858424357461,254684
1.0,0.75,0.0005223345074266843,1.1433231793570438,1.1433231793570438,217080
1.0,0.75,0.0006054123584037269,1.152137844803326,1.152137844803326,184662
1.0,0.75,0.0007017038286703822,1.161764197499447,1.161764197499447,156971
1.0,0.75,0.0008133105582266928,1.1727810359715516,1.1727810359715516,133380
1.0,0.75,0.0009426684551178855,1.1828027450927072,1.1828027450927072,113070
1.0,0.75,0.001092600861117378,1.1931011261573072,1.1931011261573072,95702
1.0,0.75,0.0012663801734674022,1.204491371587932,1.204491371587932,80954
1.0,0.75,0.0014677992676220691,1.2179050458777063,1.2179050458777063,68460
1.0,0.75,0.0017012542798525892,1.2345391755242539,1.2345391755242539,57905
1.0,0.75,0.001971840556512642,1.247032118020366,1.247032118020366,48698
1.0,0.75,0.0022854638641349886,1.264347204353651,1.264347204353651,41024
1.0,0.75,0.0026489692876105267,1.278362541311133,1.278362541311133,34381
1.0,0.75,0.00307029062975785,1.2930487335980052,1.2930487335980052,28767
1.0,0.75,0.0035586235730509655,1.3137069189606443,1.3137069189606443,24108
1.0,0.75,0.004124626382901348,1.3316573947423602,1.3316573947423602,20108
1.0,0.75,0.00478065253300738,1.3562962044661873,1.3562962044661873,16799
1.0,0.75,0.005541020330009492,1.3740480766007312,1.3740480766007312,13911
1.0,0.75,0.006422325422229356,1.395621329726699,1.395621329726699,11519
1.0,0.75,0.007443803013251681,1.424332223175684,1.424332223175684,9549
1.0,0.75,0.008627747685955867,1.462026706591902,1.462026706591902,7919
1.0,0.75,0.01,1.5025942978740625,1.5025942978740625,6539
1.0,0.81,3.1622776601683795e-05,0.33454218829355303,0.33454218829355303,499408
1.0,0.81,3.665241237079626e-05,0.3519196146683819,0.3519196146683819,499408
1.0,0.81,4.248201698162608e-05,0.3712012560359847,0.3712012560359847,499408
1.0,0.81,4.9238826317067415e-05,0.3927182506925682,0.3927182506925682,499408
1.0,0.81,5.707031326057167e-05,0.41688324018440726,0.41688324018440726,499408
1.0,0.81,6.614740641230145e-05,0.44421708898975887,0.44421708898975887,499408
1.0,0.81,7.666822074546222e-05,0.4753868533788516,0.4753868533788516,499408
1.0,0.81,8.886238162743407e-05,0.5112609417240953,0.5112609417240953,499408
1.0,0.81,0.00010299603658099899,0.5529912887129481,0.5529912887129481,499408
1.0,0.81,0.00011937766417144357,0.6021393498160093,0.6021393498160093,499408
1.0,0.81,0.00013836480680324593,0.6608758375479207,0.6608758375479207,499408
1.0,0.81,0.0001603718743751331,0.7323099948425189,0.7323099948425189,499408
1.0,0.81,0.00018587918911465635,0.8210582953317281,0.8210582953317281,499408
1.0,0.81,0.00021544346900318823,0.9342836922946102,0.9342836922946102,499408
1.0,0.81,0.0002497099786006541,1.0836476158490422,1.0836476158490422,499369
1.0,0.81,0.0002894266124716752,1.102698726695851,1.102698726695851,432083
1.0,0.81,0.00033546021859540435,1.110511345077055,1.110511345077055,369564
1.0,0.81,0.00038881551803080855,1.1193607291281251,1.1193607291281251,316009
1.0,0.81,0.0004506570337745473,1.1285933488741133,1.1285933488741133,269916
1.0,0.81,0.0005223345074266843,1.1382972796760031,1.1382972796760031,230306
1.0,0.81,0.0006054123584037269,1.146385869697186,1.146385869697186,195950
1.0,0.81,0.0007017038286703822,1.1567064801184128,1.1567064801184128,166816
1.0,0.81,0.0008133105582266928,1.166395819346986,1.166395819346986,141717
1.0,0.81,0.0009426684551178855,1.1754916034537652,1.1754916034537652,120156
1.0,0.81,0.001092600861117378,1.1882905530810302,1.1882905530810302,102018
1.0,0.81,0.0012663801734674022,1.1972786953919303,1.1972786953919303,86208
1.0,0.81,0.0014677992676220691,1.2097995781522415,1.2097995781522415,72932
1.0,0.81,0.0017012542798525892,1.2250494244255556,1.2250494244255556,61702
1.0,0.81,0.001971840556512642,1.2407795368918273,1.2407795368918273,52097
1.0,0.81,0.0022854638641349886,1.2539849691101193,1.2539849691101193,43803
1.0,0.81,0.0026489692876105267,1.270217462768371,1.270217462768371,36821
